asn,description,total_ipv4,observed_bad_ipv4_unique,observed_bad_ipv4_weighted,abuse_ratio_unique_pct,abuse_ratio_weighted_pct,distinct_feeds,distinct_feed_families,maliciousness_score,confidence_score,category,operator_profile,operator_tags,recommended_action,spamhaus_asndrop_flag,community_bad_asn_flag,known_scanner_flag,score_density,score_volume,score_diversity,score_severity,score_persistence,score_routing,score_context_adjustment,routing_risk_score,rpki_risk_score,spamhaus_drop_ipv4_weighted,threatfox_ipport_recent_ipv4_weighted,urlhaus_recent_urls_ipv4_weighted,openphish_feed_ipv4_weighted,ripe_first_seen_utc,ripe_last_seen_utc,ripe_visibility_v4_pct,ripe_announced_prefixes_v4,ripe_announced_ipv4,ripe_observed_neighbours,ripe_rpki_total_prefixes_v4,ripe_rpki_prefixes_checked_v4,ripe_rpki_valid_prefixes_v4,ripe_rpki_invalid_asn_prefixes_v4,ripe_rpki_invalid_length_prefixes_v4,ripe_rpki_invalid_prefixes_v4,ripe_rpki_unknown_prefixes_v4,ripe_rpki_coverage_pct_v4,ripe_rpki_partial_flag,first_seen_utc,last_seen_utc,runs_seen_30d,days_observed_30d,reasons
AS152194,HK - CTGSERVERLIMITED-AS-AP CTG Server Limited,188158,139010,144956,73.879399,77.039509,4,4,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,0,15,0,0,144894,61,1,0,2024-01-23T16:00:00,2026-08-21T16:00:00,99.69604863221885,650,192512,37,663,12,11,0,0,0,1,1.809954751131222,1,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP
AS54801,US - ZILLION-NETWORK,272128,58885,58887,21.638714,21.639449,3,3,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,1,15,0,1,58880,7,0,0,2012-09-26T08:00:00,2026-08-21T16:00:00,99.69604863221885,293,279040,17,296,12,6,0,0,0,6,4.054054054054054,1,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE RPKI risk score 1
AS55933,HK - CLOUDIE-AS-AP Cloudie Limited,90112,36868,38413,40.913530,42.628063,4,4,100,100,hard_block,bulletproof_or_privacy_hosting,"bulletproof_or_privacy_hosting,community_edge_risk",hard_block,1,1,0,35,15,15,10,10,1,15,0,1,38400,13,0,0,2011-02-02T08:00:00,2026-08-21T16:00:00,99.69604863221885,346,110592,44,394,12,2,0,0,0,10,3.0456852791878175,1,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE RPKI risk score 1
AS208525,HK - AIRULIMITED,33792,29440,29440,87.121212,87.121212,2,2,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,2,15,0,2,29440,0,0,0,2019-07-26T00:00:00,2026-08-21T16:00:00,99.69604863221885,38,33792,4,40,12,0,0,0,0,12,30.0,1,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE RPKI risk score 2
AS200373,DE - DREI-K-TECH-GMBH,56320,17152,17152,30.454545,30.454545,3,3,100,100,hard_block,bulletproof_or_privacy_hosting,"bulletproof_or_privacy_hosting,community_edge_risk",hard_block,1,1,0,35,15,15,10,10,0,15,0,0,17152,0,0,0,2018-07-31T16:00:00,2026-08-21T16:00:00,99.69604863221885,190,56320,44,190,12,12,0,0,0,0,6.315789473684211,1,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP
AS48589,GB - TIGER,14848,12800,17408,86.206897,117.241379,2,2,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,2,15,0,2,17408,0,0,0,2009-02-07T00:00:00,2026-08-21T16:00:00,99.3920972644377,11,14848,4,11,11,0,0,0,0,11,100.0,0,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE RPKI risk score 2
AS40193,US - AS-TRIT,10240,10240,10240,100.000000,100.000000,2,2,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,4,15,2,2,10240,0,0,0,2006-09-28T08:00:00,2026-08-21T16:00:00,97.87234042553192,8,10240,1,8,8,0,0,0,0,8,100.0,0,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 2 | RIPE RPKI risk score 2
AS215731,US - -Reserved AS,9984,7168,7168,71.794872,71.794872,2,2,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,4,15,2,2,7168,0,0,0,2024-01-14T16:00:00,2026-08-21T16:00:00,99.3920972644377,39,9984,2,39,12,0,0,0,0,12,30.76923076923077,1,2026-04-03T22:06:19.081988+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 2 | RIPE RPKI risk score 2
AS132827,JP - GATEWAY-AS-AP GATEWAY INC,21248,6912,6912,32.530120,32.530120,2,2,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,0,15,0,0,6912,0,0,0,2013-06-15T00:00:00,2026-08-21T16:00:00,99.69604863221885,46,21248,3,46,12,10,0,0,0,2,26.08695652173913,1,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP
AS62864,US - NILAS,8192,6656,6656,81.250000,81.250000,2,2,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,3,15,2,1,6656,0,0,0,2015-03-20T16:00:00,2026-08-21T16:00:00,99.69604863221885,23,8192,1,23,12,2,0,0,0,10,52.17391304347826,1,2026-03-20T08:46:48.782038+00:00,2026-08-21T22:03:51.593457+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 2 | RIPE RPKI risk score 1
