asn,description,total_ipv4,observed_bad_ipv4_unique,observed_bad_ipv4_weighted,abuse_ratio_unique_pct,abuse_ratio_weighted_pct,distinct_feeds,distinct_feed_families,maliciousness_score,confidence_score,category,operator_profile,operator_tags,recommended_action,spamhaus_asndrop_flag,community_bad_asn_flag,known_scanner_flag,score_density,score_volume,score_diversity,score_severity,score_persistence,score_routing,score_context_adjustment,routing_risk_score,rpki_risk_score,spamhaus_drop_ipv4_weighted,threatfox_ipport_recent_ipv4_weighted,urlhaus_recent_urls_ipv4_weighted,openphish_feed_ipv4_weighted,ripe_first_seen_utc,ripe_last_seen_utc,ripe_visibility_v4_pct,ripe_announced_prefixes_v4,ripe_announced_ipv4,ripe_observed_neighbours,ripe_rpki_total_prefixes_v4,ripe_rpki_prefixes_checked_v4,ripe_rpki_valid_prefixes_v4,ripe_rpki_invalid_asn_prefixes_v4,ripe_rpki_invalid_length_prefixes_v4,ripe_rpki_invalid_prefixes_v4,ripe_rpki_unknown_prefixes_v4,ripe_rpki_coverage_pct_v4,ripe_rpki_partial_flag,first_seen_utc,last_seen_utc,runs_seen_30d,days_observed_30d,reasons
AS152194,HK - CTGSERVERLIMITED-AS-AP CTG Server Limited,191742,138496,144455,72.230393,75.338215,4,4,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,0,15,0,0,144382,30,43,0,2024-01-23T16:00:00,2026-07-10T16:00:00,99.69418960244649,650,196096,37,651,12,11,0,0,0,1,1.8433179723502304,1,2026-03-20T08:46:48.782038+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP
AS54801,US - ZILLION-NETWORK,270848,59138,59140,21.834387,21.835125,3,3,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,1,15,0,1,59136,4,0,0,2012-09-26T08:00:00,2026-07-10T16:00:00,99.69418960244649,276,279296,17,276,12,6,0,0,0,6,4.3478260869565215,1,2026-03-20T08:46:48.782038+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE RPKI risk score 1
AS55933,HK - CLOUDIE-AS-AP Cloudie Limited,95232,38917,40457,40.865465,42.482569,5,5,100,100,hard_block,bulletproof_or_privacy_hosting,"bulletproof_or_privacy_hosting,community_edge_risk",hard_block,1,1,0,35,15,15,10,10,1,15,0,1,40448,6,3,0,2011-02-02T08:00:00,2026-07-10T16:00:00,99.69418960244649,333,111104,38,381,12,2,0,0,0,10,3.149606299212598,1,2026-03-20T08:46:48.782038+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE RPKI risk score 1
AS208525,HK - AIRULIMITED,34816,30464,30464,87.500000,87.500000,2,2,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,2,15,0,2,30464,0,0,0,2019-07-26T00:00:00,2026-07-10T16:00:00,99.69418960244649,40,34816,4,41,12,0,0,0,0,12,29.268292682926827,1,2026-03-20T08:46:48.782038+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE RPKI risk score 2
AS200373,DE - DREI-K-TECH-GMBH,56320,17152,17152,30.454545,30.454545,3,3,100,100,hard_block,bulletproof_or_privacy_hosting,"bulletproof_or_privacy_hosting,community_edge_risk",hard_block,1,1,0,35,15,15,10,10,0,15,0,0,17152,0,0,0,2018-07-31T16:00:00,2026-07-10T16:00:00,99.69418960244649,190,56320,45,190,12,12,0,0,0,0,6.315789473684211,1,2026-03-20T08:46:48.782038+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP
AS48589,GB - TIGER,14848,12800,17408,86.206897,117.241379,2,2,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,2,15,0,2,17408,0,0,0,2009-02-07T00:00:00,2026-07-10T16:00:00,99.38837920489296,11,14848,4,11,11,0,0,0,0,11,100.0,0,2026-03-20T08:46:48.782038+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE RPKI risk score 2
AS40193,US - AS-TRIT,10240,10240,10240,100.000000,100.000000,2,2,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,4,15,2,2,10240,0,0,0,2006-09-28T08:00:00,2026-07-10T16:00:00,97.85932721712538,8,10240,1,8,8,0,0,0,0,8,100.0,0,2026-03-20T08:46:48.782038+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 2 | RIPE RPKI risk score 2
AS62864,US - NILAS,10496,8960,8960,85.365854,85.365854,2,2,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,3,15,2,1,8960,0,0,0,2015-03-20T16:00:00,2026-07-10T16:00:00,99.69418960244649,32,10496,1,32,12,2,0,0,0,10,37.5,1,2026-03-20T08:46:48.782038+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 2 | RIPE RPKI risk score 1
AS215731,US - -Reserved AS,9984,7168,7168,71.794872,71.794872,2,2,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,4,15,2,2,7168,0,0,0,2024-01-14T16:00:00,2026-07-10T16:00:00,99.38837920489296,39,9984,2,39,12,0,0,0,0,12,30.76923076923077,1,2026-04-03T22:06:19.081988+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 2 | RIPE RPKI risk score 2
AS132827,JP - GATEWAY-AS-AP GATEWAY INC,21504,6912,6912,32.142857,32.142857,2,2,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,0,15,0,0,6912,0,0,0,2013-06-15T00:00:00,2026-07-10T16:00:00,99.69418960244649,47,21504,3,47,12,8,0,0,0,4,25.53191489361702,1,2026-03-20T08:46:48.782038+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP
AS210558,DE - SERVICES-1337-GMBH 1337-SERVICES-GMBH-NETWORK,5631,5631,5704,100.000000,101.296395,5,5,100,100,hard_block,bulletproof_or_privacy_hosting,"bulletproof_or_privacy_hosting,community_edge_risk",hard_block,1,1,0,35,15,15,10,10,0,15,0,0,5631,6,67,0,2022-03-04T16:00:00,2026-07-10T16:00:00,98.1651376146789,22,5632,7,22,12,12,0,0,0,0,54.54545454545454,1,2026-03-20T08:46:48.782038+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP
AS211619,HR - MAXKO,7680,5376,5389,70.000000,70.169271,4,4,100,100,hard_block,bulletproof_or_privacy_hosting,"bulletproof_or_privacy_hosting,community_edge_risk",hard_block,1,1,0,35,15,15,10,10,0,15,0,0,5376,0,13,0,2021-03-31T08:00:00,2026-07-10T16:00:00,99.69418960244649,30,7680,40,30,12,12,0,0,0,0,40.0,1,2026-03-20T08:46:48.782038+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP
AS211121,GB - TIGER-MSK,5120,5120,5120,100.000000,100.000000,2,2,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,6,15,4,2,5120,0,0,0,2026-04-07T16:00:00,2026-07-10T16:00:00,98.1651376146789,5,5120,1,5,5,0,0,0,0,5,100.0,0,2026-03-20T08:46:48.782038+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 4 | RIPE RPKI risk score 2
AS202412,SC - OMEGATECH-AS,4864,4864,5281,100.000000,108.573191,4,4,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,2,15,2,0,4864,42,375,0,2018-06-06T08:00:00,2026-07-10T16:00:00,98.47094801223241,19,4864,2,19,12,12,0,0,0,0,63.1578947368421,1,2026-03-20T08:46:48.782038+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 2
AS138968,JP - RAINBOWIDC-AS-AP rainbow network limited,7168,3584,3584,50.000000,50.000000,2,2,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,0,15,0,0,3584,0,0,0,2020-02-22T08:00:00,2026-07-10T16:00:00,99.69418960244649,24,11008,24,26,12,10,0,0,0,2,46.15384615384615,1,2026-03-20T08:46:48.782038+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP
AS55154,US - MADGEN-01,11264,3584,3584,31.818182,31.818182,2,2,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,2,15,0,2,3584,0,0,0,2013-03-29T00:00:00,2026-07-10T16:00:00,99.69418960244649,44,11264,3,45,12,0,0,0,0,12,26.666666666666668,1,2026-03-20T08:46:48.782038+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE RPKI risk score 2
AS402253,KN - SKN-NETWORK-1 - SKN Subnet & Telecom Ltd,3328,3328,3418,100.000000,102.704327,4,4,100,100,hard_block,bulletproof_or_privacy_hosting,"bulletproof_or_privacy_hosting,access_isp_or_telco",hard_block,1,0,0,35,15,15,10,10,4,15,4,0,3328,17,73,0,2026-04-01T00:00:00,2026-07-10T16:00:00,98.1651376146789,3,3328,1,3,3,1,0,0,0,2,100.0,0,2026-04-17T22:04:11.353018+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 4
AS51396,DE - PFCLOUD,8192,2816,3197,34.375000,39.025879,5,5,100,100,hard_block,bulletproof_or_privacy_hosting,"bulletproof_or_privacy_hosting,community_edge_risk",hard_block,1,1,0,35,15,15,10,10,0,15,0,0,3072,14,111,0,2010-10-06T08:00:00,2026-07-10T16:00:00,99.38837920489296,32,8192,69,32,12,12,0,0,0,0,37.5,1,2026-03-20T08:46:48.782038+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP
AS44382,US - WHITELABEL,3584,2562,2614,71.484375,72.935268,4,4,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,2,15,2,0,2560,35,19,0,2008-02-06T16:00:00,2026-07-10T16:00:00,99.69418960244649,14,3584,2,14,12,12,0,0,0,0,85.71428571428571,1,2026-03-20T08:46:48.782038+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 2
AS133731,HK - CLOUDIE-AS-AP Cloudie Limited,3584,2561,2562,71.456473,71.484375,3,3,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,0,15,0,0,2560,2,0,0,2015-03-11T08:00:00,2026-07-10T16:00:00,99.69418960244649,15,4352,5,19,12,12,0,0,0,0,63.1578947368421,1,2026-03-20T08:46:48.782038+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP
AS140869,NZ - TGL-AS-AP Turing Group Limited,16640,2308,2324,13.870192,13.966346,4,4,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,2,15,2,0,2304,10,10,0,2020-07-31T08:00:00,2026-07-10T16:00:00,99.69418960244649,62,16640,2,62,12,8,0,0,0,4,19.35483870967742,1,2026-03-20T08:46:48.782038+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 2
AS209946,UA - ALINDA-AS,2816,2304,2315,81.818182,82.208807,4,4,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,2,15,2,0,2304,0,9,2,2020-10-23T16:00:00,2026-07-10T16:00:00,99.69418960244649,9,2816,1,9,9,9,0,0,0,0,100.0,0,2026-05-22T22:12:48.375147+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 2
AS47890,GB - UNMANAGED-DEDICATED-SERVERS,9472,2304,2567,24.324324,27.100929,3,3,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,0,15,0,0,2560,0,7,0,2008-09-17T08:00:00,2026-07-10T16:00:00,99.69418960244649,37,9472,8,37,12,9,0,0,0,3,32.432432432432435,1,2026-03-20T08:46:48.782038+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP
AS24544,HK - OVERCASTS-AS-AP Overcasts Limited,4352,2304,2304,52.941176,52.941176,2,2,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,2,15,0,2,2304,0,0,0,2006-01-20T08:00:00,2026-07-10T16:00:00,99.69418960244649,23,9984,4,36,12,0,0,0,0,12,33.33333333333333,1,2026-03-20T08:46:48.782038+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE RPKI risk score 2
AS197769,US - VPSDEDICATED-AS - VPS Dedicated LLC,2303,2303,2366,100.000000,102.735562,4,4,100,100,hard_block,bulletproof_or_privacy_hosting,bulletproof_or_privacy_hosting,hard_block,1,0,0,35,15,15,10,10,2,15,2,0,2303,61,2,0,2011-12-02T16:00:00,2026-07-10T16:00:00,98.1651376146789,6,2304,1,6,6,6,0,0,0,0,100.0,0,2026-05-15T22:03:58.569583+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP | RIPE routing risk score 2
AS209605,LT - HOSTBALTIC,2304,2048,2060,88.888889,89.409722,5,5,100,100,hard_block,bulletproof_or_privacy_hosting,"bulletproof_or_privacy_hosting,community_edge_risk",hard_block,1,1,0,35,15,15,10,10,0,15,0,0,2048,9,3,0,2019-01-21T00:00:00,2026-07-10T16:00:00,99.69418960244649,9,2304,9,9,9,5,0,0,0,4,100.0,0,2026-03-20T08:46:48.782038+00:00,2026-07-10T22:25:19.321862+00:00,5,5,Listed in Spamhaus ASN-DROP
